公司代號名稱,資料來源,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,決議（擬議）進度,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1313 - 聯成,股東會確認,1,108/03/22,108/06/14,"1,309,787,113","753,609,731","2,509,802,676","1,867,886,371",0.2,0,"256,766,525",0.3,0,"38,514,978",新台幣                 10.0000元
1314 - 中石化,股東會確認,1,108/03/22,108/05/24,0,"4,290,269,039","2,747,050,553","47,193,286",0.5,0,"1,349,928,637",0.5,0,"134,992,863",新台幣                 10.0000元
1315 - 達新,股東會確認,1,108/03/25,108/06/14,"169,788,788","229,468,127","421,252,506","183,652,506",1.2,0,"237,600,000",0,0,0,新台幣                 10.0000元
1316 - 上曜,股東會確認,1,108/03/20,108/06/24,"361,764","165,718,137","199,603,887","958,350",1.14,0.75,"329,333,390",0,0,0,新台幣                 10.0000元
1319 - 東陽,股東會確認,1,108/03/22,108/06/20,"6,999,088,758","1,926,009,825","8,585,104,210","7,579,593,194",1.7,0,"1,005,511,016",0,0,0,新台幣                 10.0000元
1321 - 大洋,股東會確認,1,108/03/28,108/06/24,"-407,980,798","-71,794,798","-289,406,871","-289,406,871",0,0,0,0,0,0,新台幣                 10.0000元
1323 - 永裕,股東會確認,1,108/03/28,108/06/27,"425,118,965","301,629,516","667,880,271","503,586,074",1.8,0,"164,294,197",0,0,0,新台幣                 10.0000元
1324 - 地球,股東會確認,1,108/03/14,108/06/14,"82,845,358","1,194,806","89,302,424","66,765,859",0.3,0,"22,536,565",0,0,0,新台幣                 10.0000元
1325 - 恆大,股東會確認,1,108/03/22,108/06/27,"457,085,204","59,852,903","502,985,613","460,345,014",0.5,0,"42,640,599",0,0,0,新台幣                 10.0000元
1326 - 台化,股東會確認,1,108/03/15,108/06/05,"31,185,048,260","48,769,317,071","72,181,431,655","35,842,076,651",6.2,0,"36,339,355,004",0,0,0,新台幣                 10.0000元
1337 - 再生-KY,股東會確認,1,108/04/26,108/06/14,"3,579,703,224","-1,888,426,761","1,482,122,479","1,482,122,479",0,0,0,0,0,0,新台幣                 10.0000元
1338 - 廣華-KY,股東會確認,1,108/03/25,108/05/31,"1,997,182,807","546,106,100","2,374,339,994","2,080,899,994",3.5,0,"293,440,000",0,0,0,新台幣                 10.0000元
1339 - 昭輝,股東會確認,1,108/03/08,108/05/29,"847,530,439","307,904,473","1,075,243,702","926,995,952",2,0,"148,247,750",0,0,0,新台幣                 10.0000元
1340 - 勝悅-KY,股東會確認,1,108/04/29,108/06/10,"2,197,889,408","134,698,718","2,183,865,974","2,017,041,039",0.2,0,"27,804,155",1,0,"13,902,078",新台幣                 10.0000元
1341 - 富林-KY,股東會確認,1,108/03/16,108/06/17,"153,836,455","150,847,197","68,258,121","18,858,121",1,2,"148,200,000",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,決議（擬議）進度,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1402 - 遠東新,股東會確認,1,108/03/22,108/06/28,"4,068,681,789","12,028,294,102","15,705,148,858","6,069,973,449",1.8,0,"9,635,175,409",0,0,0,新台幣                 10.0000元
1409 - 新纖,股東會確認,1,108/03/25,108/05/29,"2,912,510,197","2,457,936,602","5,017,979,003","3,642,331,106",0.85,0,"1,375,647,897",0,0,0,新台幣                 10.0000元
1410 - 南染,股東會確認,1,108/03/22,108/06/14,"4,427,570","103,811,667","97,092,294","3,492,294",1.3,0,"93,600,000",0,0,0,新台幣                 10.0000元
1413 - 宏洲,股東會確認,1,108/02/25,108/06/04,"-425,972,120","242,383,904","-183,588,216","-183,588,216",0,0,0,0,0,0,新台幣                 10.0000元
1414 - 東和,股東會確認,1,108/04/26,108/06/12,"88,461,885","38,482,519","128,089,552","84,089,552",0.2,0,"44,000,000",0,0,0,新台幣                 10.0000元
1416 - 廣豐,股東會確認,1,108/03/29,108/06/26,"1,250,393,188","250,065,710","1,431,301,084","1,208,890,482",1.2,0,"222,410,602",0,0,0,新台幣                 10.0000元
1417 - 嘉裕,股東會確認,1,108/03/26,108/06/14,"-852,643,459","-233,568,291","-1,090,147,716","-1,090,147,716",0,0,0,0,0,0,新台幣                 10.0000元
1418 - 東華,股東會確認,1,108/03/22,108/06/21,"-331,266,495","-217,903,988","-398,171,089",0,0,0,0,0,0,0,新台幣                 10.0000元
1419 - 新紡,股東會確認,1,108/03/25,108/06/14,"515,685,272","282,546,418","778,299,784","524,008,008",0.84752263,0,"254,291,776",0,0,0,新台幣                 10.0000元
1423 - 利華,股東會確認,1,108/03/20,108/06/14,0,"102,667,760",0,0,0,0,0,0,0,0,新台幣                 10.0000元
1432 - 大魯閣,股東會確認,1,108/03/18,108/06/25,"-521,443,990","-184,428,651","-709,174,048","-709,174,048",0,0,0,0,0,0,新台幣                 10.0000元
1434 - 福懋,股東會確認,1,108/03/15,108/06/20,"1,769,375,501","4,737,405,894","9,269,308,030","5,731,512,292",2.1,0,"3,537,795,738",0,0,0,新台幣                 10.0000元
1435 - 中福,股東會確認,1,108/03/21,108/06/21,"-303,525,000","-12,282,000","-146,415,000","-146,415,000",0,0,0,0,0,0,新台幣                 10.0000元
1436 - 華友聯,股東會確認,1,108/03/21,108/06/21,"660,409,619","357,376,128","982,048,134","663,268,134",2,0,"159,390,000",2,0,"15,939,000",新台幣                 10.0000元
1437 - 勤益控,股東會確認,1,108/03/15,108/06/18,"107,484,568","249,297,875","331,852,655","230,167,013",0.5,0,"101,685,642",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,決議（擬議）進度,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1438 - 裕豐,股東會確認,1,108/03/22,108/06/11,"-568,729,215","-11,878,656","-558,607,871","-558,607,871",0,0,0,0,0,0,新台幣                 10.0000元
1439 - 中和,股東會確認,1,108/03/05,108/06/24,"544,889,745","-68,814,888","476,027,993","476,027,993",0,0,0,0,0,0,新台幣                 10.0000元
1440 - 南紡,股東會確認,1,108/03/18,108/06/20,"578,737,545","1,071,002,952","1,951,196,127","1,288,469,784",0.4,0,"662,726,343",0,0,0,新台幣                 10.0000元
1441 - 大東,股東會確認,1,108/04/30,108/06/19,"-393,133,573","904,682,941","401,089,475","142,968,592",0.4,0,"31,244,963",2.90447991,0,"22,687,592",新台幣                 10.0000元
1442 - 名軒,股東會確認,1,108/05/07,108/06/20,"594,065,884","120,791,038","712,281,475","410,163,994",1,0,"302,117,481",0,0,0,新台幣                 10.0000元
1443 - 立益,股東會確認,1,108/03/15,108/06/13,"-479,963,563","-320,216,633","-790,832,647","-790,832,647",0,0,0,0,0,0,新台幣                 10.0000元
1444 - 力麗,股東會確認,1,108/04/30,108/06/12,"52,055,755","415,590,831","422,152,054","39,230,877",0.4,0,"382,921,177",0,0,0,新台幣                 10.0000元
1445 - 大宇,股東會確認,1,108/03/12,108/06/17,"146,952","-24,156,631",0,0,0,0.2,"26,533,406",0,0,0,新台幣                 10.0000元
1446 - 宏和,股東會確認,1,108/03/14,108/06/04,"4,720,925","-28,596,634","-23,875,709","-23,875,709",0,0.3,"41,312,854",0,0,0,新台幣                 10.0000元
1447 - 力鵬,股東會確認,1,108/04/30,108/06/12,"392,042,451","161,956,387","204,158,021","21,260,573",0.2,0,"182,897,448",0,0,0,新台幣                 10.0000元
1449 - 佳和,股東會確認,1,108/03/27,108/06/27,"-911,528,000","-102,272,000","-970,932,000",0,0,0,0,0,0,0,新台幣                 10.0000元
1451 - 年興,股東會確認,1,108/03/15,108/06/19,"2,273,977,238","401,417,580","2,978,932,870","2,582,932,870",2,0,"396,000,000",0,0,0,新台幣                 10.0000元
1452 - 宏益,股東會確認,1,108/02/25,108/06/12,"373,831,122","194,915,946","553,353,858","367,655,898",1.4,0,"185,697,960",0,0,0,新台幣                 10.0000元
1453 - 大將,股東會確認,1,108/03/20,108/06/14,"-23,015,516","335,734,147","351,604,570","261,929,900",0,0,0,1,0,"8,967,467",新台幣                 10.0000元
1454 - 台富,股東會確認,1,108/03/12,108/06/20,"1,901,878","20,160,556","22,399,057","8,968,073",0.09572374,0.09572374,"26,861,968",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,決議（擬議）進度,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1455 - 集盛,股東會確認,1,108/03/26,108/06/24,"478,038,694","89,979,195","565,188,465","442,835,789",0.2,0,"122,352,676",0,0,0,新台幣                 10.0000元
1456 - 怡華,股東會確認,1,108/03/15,108/06/28,"72,368,813","12,351,502","42,808,749","42,808,749",0,0,0,0,0,0,新台幣                 10.0000元
1457 - 宜進,股東會確認,1,108/03/25,108/06/06,"464,005,051","495,386,799","989,740,706","778,587,358",0.7,0,"211,153,348",0,0,0,新台幣                 10.0000元
1459 - 聯發,股東會確認,1,108/03/25,108/06/28,"-53,569,791","-374,560,661","-444,285,499","-444,285,499",0,0,0,0,0,0,新台幣                 10.0000元
1460 - 宏遠,股東會確認,1,108/03/19,108/06/14,"61,135,790","157,364,560","182,349,303","82,381,813",0,0,0,0.2,0,"9,996,749",新台幣                 10.0000元
1463 - 強盛,股東會確認,1,108/03/21,108/06/20,"2,884,116","265,943,393","247,282,844","4,707,111",1.4,0,"242,575,733",0,0,0,新台幣                 10.0000元
1464 - 得力,股東會確認,1,108/05/06,108/06/21,"21,253,786","202,152,325","208,750,154","24,739,045",0.55,0.95,"501,848,479",0,0,0,新台幣                 10.0000元
1465 - 偉全,股東會確認,1,108/05/08,108/06/18,"896,334","-12,852,526","-9,695,176","-9,695,176",0,0.3,"31,082,180",0,0,0,新台幣                 10.0000元
1466 - 聚隆,股東會確認,1,108/03/25,108/06/28,"-19,598,982","-104,434,437","-118,849,027","-118,849,027",0,0,0,0,0,0,新台幣                 10.0000元
1467 - 南緯,股東會確認,1,108/03/25,108/06/12,"-79,544,546","-60,527,145","-139,948,141","-139,948,141",0,0,0,0,0,0,新台幣                 10.0000元
1468 - 昶和,股東會確認,1,108/03/25,108/06/28,"-838,742,179","38,702,360","-799,171,826","-799,171,826",0,0,0,0,0,0,新台幣                 10.0000元
1470 - 大統新創,股東會確認,1,108/03/27,108/06/27,"6,036,697","48,866,980","35,141,760","834,960",0.4,0,"34,306,800",0,0,0,新台幣                 10.0000元
1471 - 首利,股東會確認,1,108/03/28,108/06/25,"-254,944,912","-319,739,283","-575,086,949",0,0,0,0,0,0,0,新台幣                 10.0000元
1472 - 三洋紡,股東會確認,1,108/03/22,108/06/20,"-46,162,630","-67,956,306","-113,674,441","-113,674,441",0,0,0,0,0,0,新台幣                 10.0000元
1473 - 台南,股東會確認,1,108/03/26,108/06/24,"646,134,127","79,543,274","786,797,466","713,720,699",0.5,0,"73,076,767",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,決議（擬議）進度,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1474 - 弘裕,股東會確認,1,108/03/25,108/06/25,"142,116,497","112,796,056","241,301,616","202,332,525",0.3,0,"38,969,091",0,0,0,新台幣                 10.0000元
1475 - 本盟,股東會確認,1,108/03/15,108/06/27,"-246,684,625","-64,357,761","-302,876,521","-302,876,521",0,0,0,0,0,0,新台幣                 10.0000元
1476 - 儒鴻,股東會確認,1,108/03/14,108/06/18,"3,634,038,040","4,379,754,214","7,661,222,727","4,643,184,506",11,0,"3,018,038,221",0,0,0,新台幣                 10.0000元
1477 - 聚陽,股東會確認,1,108/03/26,108/06/18,"16,976,860","1,507,009,420","1,492,072,251","5,422,989",7.1,0,"1,486,649,262",0,0.5,"10,469,361",新台幣                 10.0000元
1503 - 士電,股東會確認,1,108/03/14,108/06/20,"6,215,969,366","1,415,140,288","7,465,340,048","6,683,881,713",1.5,0,"781,458,335",0,0,0,新台幣                 10.0000元
1504 - 東元,股東會確認,1,108/03/26,108/06/14,"10,718,786,062","3,150,088,912","14,877,779,139","13,106,855,542",0.9,0,"1,770,923,597",0,0,0,新台幣                 10.0000元
1506 - 正道,股東會確認,1,108/03/22,108/06/24,"-27,973,838","-116,612,616","-142,990,332",0,0,0,0,0,0,0,新台幣                 10.0000元
1507 - 永大,股東會確認,1,0,108/06/18,"3,301,804,525","674,746,710","3,909,670,749","3,170,194,749",1.8,0,"739,476,000",0,0,0,新台幣                 10.0000元
1512 - 瑞利,股東會確認,1,108/03/27,108/06/25,"-1,239,757,415","-196,664,825","-1,486,168,377","-1,486,168,377",0,0,0,0,0,0,新台幣                 10.0000元
1513 - 中興電,股東會確認,1,108/03/26,108/06/27,"374,023,381","544,837,600","864,377,221","444,377,221",1,0,"420,000,000",0,0,0,新台幣                 10.0000元
1514 - 亞力,股東會確認,1,108/03/28,108/06/20,"25,403,948","215,908,604","227,734,538","26,667,529",0.7,0,"140,746,909",0.3,0,"6,032,010",新台幣                 10.0000元
1515 - 力山,股東會確認,1,108/03/28,108/05/21,"321,390,747","398,728,447","562,695,364","199,748,364",2,0,"362,947,000",0,0,0,新台幣                 10.0000元
1516 - 川飛,股東會確認,1,108/03/08,108/06/05,"1,072,526","16,191,290","15,644,687","1,072,527",0,0,0,0.45689814,0,"1,457,216",新台幣                 10.0000元
1517 - 利奇,股東會確認,1,108/05/10,108/06/25,"581,096,861","92,839,624","627,557,321","571,136,069",0.25,0,"56,421,252",0,0,0,新台幣                 10.0000元
1519 - 華城,股東會確認,1,108/03/22,108/06/13,"43,196,572","60,081,918","95,411,497","17,093,933",0.3,0,"78,317,564",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,決議（擬議）進度,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1521 - 大億,股東會確認,1,108/03/15,108/06/18,"86,915,537","319,206,404","371,122,823","81,448,823",3.8,0,"289,674,000",0,0,0,新台幣                 10.0000元
1522 - 堤維西,股東會確認,1,108/03/26,108/06/21,"638,775,336","622,938,996","1,190,534,532","783,767,287",1.3,0,"406,767,245",0,0,0,新台幣                 10.0000元
1524 - 耿鼎,股東會確認,1,108/03/12,108/06/13,"144,279,200","195,087,825","317,445,615","227,603,011",0.5,0,"89,842,604",0,0,0,新台幣                 10.0000元
1525 - 江申,股東會確認,1,108/03/21,108/06/18,"2,381,606,113","453,196,840","2,790,207,269","2,658,087,026",1.8,0,"132,120,243",0,0,0,新台幣                 10.0000元
1526 - 日馳,股東會確認,1,108/03/19,108/06/28,"181,408,583","136,076,259","292,031,723","232,031,723",1,0,"60,000,000",0,0,0,新台幣                 10.0000元
1527 - 鑽全,股東會確認,1,108/03/25,108/06/27,"709,041,206","1,031,765,418","1,645,469,347","1,093,626,787",4,0,"551,842,560",0,0,0,新台幣                 10.0000元
1528 - 恩德,股東會確認,1,108/04/01,108/05/30,"5,404,727","40,976,780","27,554,212","1,641,182",0.13,0.07,"39,866,200",0,0,0,新台幣                 10.0000元
1529 - 樂士,股東會確認,1,108/03/13,108/05/29,"-4,461,785","46,943,055","38,233,143","25,039,547",0.2,0,"13,193,596",0,0,0,新台幣                 10.0000元
1530 - 亞崴,股東會確認,1,108/03/20,108/06/12,"980,290,817","333,391,895","1,268,706,518","1,075,518,176",2,0,"193,188,342",0,0,0,新台幣                 10.0000元
1531 - 高林股,股東會確認,1,108/03/27,108/06/21,"916,678,123","125,416,883","953,923,451","861,419,411",0.5,0,"92,504,040",0,0,0,新台幣                 10.0000元
1532 - 勤美,股東會確認,1,108/03/28,108/06/24,"3,678,540,955","1,835,572,349","5,354,412,017","4,314,231,315",2.7,0,"1,040,180,702",0,0,0,新台幣                 10.0000元
1533 - 車王電,股東會確認,1,108/03/20,108/06/12,"655,534,054","267,439,298","868,966,913","790,128,924",0.8,0,"78,837,989",0,0,0,新台幣                 10.0000元
1535 - 中宇,股東會確認,1,108/03/20,108/06/25,"450,769,708","97,863,964","531,077,374","394,960,567",1.1,0,"136,116,807",0,0,0,新台幣                 10.0000元
1536 - 和大,股東會確認,1,108/03/21,108/06/12,"636,493,375","1,236,915,137","1,757,552,694","865,204,898",3.5,0,"892,347,796",0,0,0,新台幣                 10.0000元
1537 - 廣隆,股東會確認,1,108/03/22,108/06/12,"697,211,681","982,995,859","1,630,429,300","812,575,360",10,0,"817,853,940",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,決議（擬議）進度,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1538 - 正峰新,股東會確認,1,108/03/22,108/06/18,"-103,518,717","-99,402,662","-200,826,883","-200,826,883",0,0,0,0,0,0,新台幣                 10.0000元
1539 - 巨庭,股東會確認,1,108/03/27,108/06/20,"313,677,418","331,315,488","608,695,132","491,029,132",1.8,0,"117,666,000",0,0,0,新台幣                 10.0000元
